#,Company,Website,HQ,NYC-Based,Sector,Subsector,Stage,Funding Amount,Funding Date,Lead Investors,Lead Contact,Contact Title,Why M&A Fits,Outreach Hook,Status,Last Action,Next Step,Notes
26,Cohere Health,coherehealth.com,"Boston, MA",No,Healthtech,Prior authorization & compliance AI,Series C,$90M,2025,Temasek,Siva Namasivayam,CEO & Co-Founder,AI for healthcare authorization — could acquire utilization management or payer integration tools,$90M with Temasek backing — positioned to consolidate administrative health workflows,Researching,,,
27,Thyme Care,thymecare.com,"Nashville, TN",No,Healthtech,Value-based oncology care,Series D,$97M,2025,,Robin Shah,CEO & Co-Founder,Oncology-focused value-based care — could acquire specialty practices or clinical data platforms,Oncology VBC is fragmented — M&A can accelerate payer contract scale,Researching,,,
28,Tebra,tebra.com,United States,No,Healthtech,Practice management / EHR,Growth,$250M (equity + debt),2025,Hildred Capital Management,Management team,,Patient record software — classic roll-up candidate for smaller practice management tools,$250M for AI and automation — likely to pursue acquisitions,Researching,,,
29,MD Integrations,mdintegrations.com,"New York, NY",Yes,Healthtech,Telehealth platform,Growth,$77M,2025,"Updata Partners, Denali Growth Partners",Management team,,Telehealth infrastructure for digital health brands — could acquire specialty telehealth platforms,Growth capital for telehealth infrastructure — acquisitions could expand addressable market,Researching,,,
30,Abridge,abridge.com,"Pittsburgh, PA",No,Healthtech,Clinical AI documentation,Series E,$300M,Jun 2025,"$5.3B valuation; $550M raised in 2025",Shiv Rao,CEO & Co-Founder,Leading clinical AI documentation — could acquire specialty documentation or EHR integration companies,"Two mega-rounds in 2025 ($250M + $300M) — clearly building a platform, acquisitions likely",Researching,,,
31,Darrow,darrow.ai,"New York, NY / Tel Aviv",Partial,Healthtech-adjacent,AI legal intelligence,Series B,$60M,Apr 2025,Sapphire Ventures,Evyatar Ben Artzi,CEO & Co-Founder,AI legal intelligence platform — could acquire legal data or case analysis companies,$60M Series B — AI legal tech has clear M&A opportunities,Researching,,,
32,Judi Health,judihealth.com,"New York, NY",Yes,Healthtech,Pharmacy benefit management,Series F,$252M,Sep 2025,"Wellington Management, General Catalyst",AJ Loiacono,CEO & Co-Founder,PBM platform disrupting $400B+ market — could acquire specialty pharmacy or drug pricing companies,$400M total investment — PBM disruption naturally leads to strategic acquisitions,Researching,,,
33,Valence,valence.co,"New York, NY",Yes,SaaS,AI coaching & employee development,Series B,$50M,Sep 2025,Bessemer Venture Partners,Parker Mitchell,CEO & Co-Founder,AI coaching platform — could acquire leadership assessment or learning content companies,$50M Series B — acquisitions of L&D or people analytics tools could expand platform,Researching,,,
34,Modal Labs,modal.com,"New York, NY",Yes,SaaS,Cloud ML infrastructure,Series B,$87M,Sep 2025,"Redpoint, Lux Capital",Erik Bernhardsson,CEO & Co-Founder,Cloud code execution for ML — could acquire developer tools or model serving companies,$87M Series B — acquisitions could add specialized compute capabilities,Researching,,,
35,Tabs,tabs.inc,"New York, NY",Yes,SaaS,AI revenue automation (B2B finance),Series B,$55M,Sep 2025,"General Catalyst, Lightspeed",Ali Hussain,CEO & Co-Founder,Revenue automation for B2B finance — could acquire billing or payment reconciliation tools,$92M total raised — acquisitions in adjacent finops tools could build comprehensive platform,Researching,,,
36,PermitFlow,permitflow.com,"New York, NY",Yes,SaaS,Construction permitting software,Series B,$54M,Dec 2025,"Kleiner Perkins, Accel, Felicis",Francis Thumpasery,CEO & Co-Founder,Construction permitting platform — could acquire municipal data or construction management tools,Backed by Kleiner + Accel + YC — permitting is a wedge into broader construction tech,Researching,,,
37,Adaptive Security,adaptivesecurity.com,"New York, NY",Yes,SaaS,Cybersecurity training & phishing defense,Series B,$81M,Dec 2025,"a16z, Bain Capital, OpenAI Startup Fund",Brian Long,CEO & Co-Founder,AI-powered security training — could acquire threat simulation or compliance training companies,OpenAI Startup Fund investment signals AI-first approach,Researching,,,
38,Zafran Security,zafran.io,"New York, NY",Yes,SaaS,Vulnerability management & cybersecurity,Series C,$60M,Dec 2025,"Sequoia, Menlo Ventures",Ben Seri,CEO & Co-Founder,Automated vulnerability mitigation — could acquire security scanning or remediation tools,Sequoia + Menlo backed — $130M total positions them for platform expansion,Researching,,,
39,Outtake,outtake.ai,"New York, NY",Yes,SaaS,Digital trust & cybersecurity,Series B,$40M,Jan 2026,"CRV, ICONIQ, S32",Alex Dhillon,CEO & Founder,Threat classification and detection — could acquire security monitoring or response tools,"Backed by Satya Nadella, William Ackman — high-profile investors signal big ambitions",Researching,,,
40,Sixfold AI,sixfold.ai,"New York, NY",Yes,SaaS,Insurtech / AI underwriting,Series B,$30M,Jan 2026,"Bessemer, Salesforce Ventures, Guidewire",Alex Schmelkin,CEO & Co-Founder,AI-automated underwriting — could acquire insurance data or risk modeling companies,"Strategic investors (Guidewire, Salesforce) signal platform ambitions",Followed Up,Follow-up sent 2026-03-18,If no reply by 2026-04-01 — try alternate channel or warm intro,Initial outreach 2026-03-10 + follow-up 2026-03-18 — no response yet
41,Benepass,benepass.com,"New York, NY",Yes,SaaS,Benefits administration,Series B,$40M,Jan 2026,"Centana Growth, Portage Ventures",Jaclyn Chen,CEO & Co-Founder,Employee benefits platform — could acquire HSA/FSA administrators or wellness programs,$74M total raised — benefits space ripe for consolidation,Followed Up,Follow-up sent 2026-03-18,If no reply by 2026-04-01 — try alternate channel or warm intro,Initial outreach 2026-03-10 + follow-up 2026-03-18 — no response yet
42,Profound,profound.co,"New York, NY",Yes,SaaS,AI marketing / search visibility,Series C,$96M,Feb 2026,Lightspeed Venture Partners,Management team,,AI search optimization — could acquire SEO tools or digital marketing companies,$96M Series C — acquisitions can add data sources and channel capabilities,Researching,,,
43,GreenLite,greenlite.com,"New York, NY",Yes,SaaS,Construction permitting technology,Series B,$49.5M,Sep 2025,"Insight Partners, Craft Ventures",Benjamin Allen,CEO & Co-Founder,Permitting and compliance platform — could acquire municipal data or construction management tools,Insight Partners + Craft Ventures backing — proptech/construction tech ripe for roll-up,Followed Up,Follow-up sent 2026-03-18,If no reply by 2026-04-01 — try alternate channel or warm intro,Initial outreach 2026-03-10 + follow-up 2026-03-18 — no response yet
44,WorkFusion,workfusion.com,"New York, NY",Yes,SaaS,AI compliance automation (financial services),Venture,$45M,Sep 2025,"Georgian, Declaration Partners",Andrew Volkov,CEO & Co-Founder,AI agents for financial crime compliance — could acquire RegTech or KYC/AML companies,$386M total raised — financial compliance has clear acquisition targets,Researching,,,
45,Vertice,vertice.one,"London, UK",No,SaaS,SaaS spend management,Series C,$50M,2025,"Lakestar, Bessemer",Eldar Tuvey,CEO & Co-Founder,AI-powered SaaS spend platform — could acquire procurement or vendor management tools,13x business growth in 3 years — acquisitions could expand into broader procurement,Researching,,,
46,Gamma,gamma.app,"San Francisco, CA",No,SaaS,AI presentations & content,Series B,$68M,2025,"a16z ($2.1B valuation)",Grant Lee,CEO & Co-Founder,AI-generated presentations — could acquire design tools or collaboration platforms,Unicorn status via Series B — rapid growth creates M&A opportunities,Researching,,,
47,Awardco,awardco.com,"Lindon, UT",No,SaaS,Employee engagement & recognition,Series B,$165M,2025,"General Catalyst ($1B valuation)",Steve Drazowski,CEO,Employee recognition unicorn — could acquire rewards or culture analytics companies,$1B valuation — HR tech consolidation through acquisitions is a proven playbook,Researching,,,
48,Serval,serval.com,United States,No,SaaS,IT automation / help desk AI,Series B,$75M,Dec 2025,"Sequoia ($1B valuation)",Management team,,AI IT automation unicorn — could acquire ITSM or workflow automation companies,Fresh unicorn at $1B — IT service management is a consolidation-heavy market,Researching,,,
49,Statsig,statsig.com,"Seattle, WA",No,SaaS,Experimentation & feature management,Series C,$350M,2025,"Benchmark ($6B valuation)",Vijaye Raji,CEO & Founder (ex-Facebook VP),A/B testing and feature flagging — could acquire analytics or developer tooling companies,$6B valuation — platform company that could expand via acquisitions,Researching,,,
50,ClickHouse,clickhouse.com,"San Francisco, CA",No,SaaS,Real-time analytics database,Series C,$350M,2025,,Aaron Katz,CEO,Open-source analytics database — could acquire visualization or data integration companies,$350M for real-time analytics — acquisitions can build out the data stack,Researching,,,
51,Hex,hex.tech,"San Francisco, CA",No,SaaS,Collaborative data workspace,Series C,$70M,2025,"a16z, Sequoia",Barry McCardel,CEO & Co-Founder,Collaborative analytics platform — could acquire notebook tools or data connectors,a16z + Sequoia — positioned to be the 'Figma of data',Researching,,,
52,Deepgram,deepgram.com,"San Francisco, CA",No,SaaS,Enterprise voice AI,Series C,$130M,Jan 2026,,Scott Stephenson,CEO & Co-Founder,Voice AI platform — could acquire speech analytics or call center AI companies,$130M for enterprise voice AI — acquisitions of vertical voice applications,Researching,,,
53,Coderabbit,coderabbit.ai,United States,No,SaaS,AI code review,Series C,$127M,2025,"Founders Fund ($1B valuation)",Management team,,AI code review unicorn — could acquire code quality or security scanning tools,Unicorn via Founders Fund — dev tools space sees frequent M&A,Researching,,,
54,Replicate,replicate.com,"San Francisco, CA",No,SaaS,AI model hosting & inference,Series B,$40M,2025,a16z,Ben Firshman,CEO & Co-Founder,API for running AI models — could acquire model optimization or GPU infrastructure companies,a16z-backed AI infrastructure — acquisitions could add vertical AI capabilities,Researching,,,
55,Decart,decart.ai,"San Francisco, CA",No,SaaS,Interactive AI experiences,Series B,$100M,2025,"Sequoia, Benchmark ($3.1B valuation)",Management team,,AI for interactive experiences — could acquire gaming tech or simulation companies,$3.1B valuation — acquisitions in gaming/interactive AI could expand use cases,Researching,,,
56,Revel,revel.co,United States,No,SaaS,Hardware test & control platform,Series B,$150M,2025,Index Ventures,Management team,,Software for hardware testing — could acquire test equipment or manufacturing QA companies,$150M for hardware-focused SaaS — niche market with M&A opportunities,Researching,,,
57,Filevine,filevine.com,"Salt Lake City, UT",No,SaaS,Legal case management,Series E,$260M,2025,"Accel, Insight Partners ($3B valuation)",Ryan Anderson,CEO & Co-Founder,$3B legaltech platform — natural acquirer of legal workflow or document management companies,Massive raise signals acquisition appetite — legaltech is fragmented,Researching,,,
58,osapiens,osapiens.com,Germany,No,SaaS,Enterprise compliance & process automation,Series C,$100M,2026,,Management team,,Compliance automation across global markets — could acquire supply chain or ESG reporting tools,$100M Series C — M&A can accelerate international regulatory coverage,Researching,,,
59,Rewaa,rewaatech.com,Saudi Arabia,No,SaaS,Retail operations platform,Series B,$45M,Early 2026,,Management team,,Retail SaaS — could acquire POS or inventory companies in MENA region,Growing retail tech platform — acquisitions can expand product suite,Researching,,,
60,Main Func,mainfunc.ai,United States,No,SaaS,AI agents for enterprise automation,Series B,$275M,2025,"Emergence Capital ($1.25B valuation)",Management team,,AI agents automating white-collar tasks — could acquire domain-specific workflow automation,$1.25B unicorn building enterprise AI agents,Researching,,,
61,Harvey,harvey.ai,"San Francisco, CA",No,SaaS,AI for legal professionals,Series E,$300M,Early 2025,"GV, Sequoia, Kleiner Perkins, OpenAI",Winston Weinberg,CEO & Co-Founder,Leading AI legaltech — could acquire legal research or contract management companies,Multiple massive rounds — legaltech platform expansion involves M&A,Researching,,,
62,Lovable,lovable.dev,"Stockholm, Sweden",No,SaaS,AI app builder (vibe coding),Series B,$330M,Dec 2025,"CapitalG, Menlo ($6.6B valuation)",Anton Osika,CEO & Founder,Fastest SaaS to $200M ARR — could acquire design tools or deployment infrastructure,$6.6B valuation and hyper-growth,Researching,,,
63,Esusu,esusu.com,"New York, NY",Yes,Fintech,Rent reporting & financial data,Series C,$50M,Dec 2025,"Blue Meridian, Kleiner Perkins",Wemimo Abbey,CEO & Co-Founder,Financial data platform for housing — could acquire credit reporting or tenant screening tools,$195M total raised — housing fintech is a fragmented space,Researching,,,
64,Arch,archfinancial.com,"New York, NY",Yes,Fintech,Private investment management,Series B,$52M,Sep 2025,"Menlo Ventures, Craft Ventures, Oak HC/FT",Jason Trigg,CEO & Co-Founder,Digital management of alternative investments — could acquire fund admin or portfolio analytics,$77M total with top VCs — private markets infrastructure has natural acquisition targets,Researching,,,
65,Imprint,imprint.co,"New York, NY",Yes,Fintech,Co-branded credit cards & financial products,Series D,$150M,Dec 2025,"Khosla Ventures ($1.2B valuation)",Daragh Murphy,CEO & Co-Founder,Brand-affiliated financial products — could acquire loyalty tech or payment processing,Fresh unicorn at $1.2B — co-brand products expand through fintech acquisitions,Researching,,,
66,Rain,rain.com,"New York, NY",Yes,Fintech,Stablecoin payment infrastructure,Series C,$250M,Jan 2026,"Bessemer, Lightspeed, ICONIQ",Farooq Malik,CEO & Co-Founder,Tokenized money and payment rails — could acquire crypto payment or treasury management companies,$250M for stablecoin payments — building payment infrastructure of the future,Researching,,,
67,Rogo,rogo.ai,"New York, NY",Yes,Fintech,AI for financial research & workflows,Series C,$75M,Jan 2026,"Sequoia, Thrive Capital, Tiger Global",Gabriel Stengel,CEO & Co-Founder,Enterprise AI for finance — could acquire financial data providers or document automation,$154M total — Sequoia + Thrive + Tiger backing,Researching,,,
68,Datarails,datarails.com,"New York, NY",Yes,Fintech,FP&A automation platform,Series C,$70M,Jan 2026,"Innovation Endeavors, One Peak",Didi Gurfinkel,CEO & Co-Founder,Financial planning and analysis automation — could acquire budgeting or forecasting tools,$173M total raised — FP&A space ripe for consolidation,Researching,,,
69,Talos,talos.com,"New York, NY",Yes,Fintech,Institutional crypto trading,Series B,$45M,Jan 2026,"a16z crypto, BNY, Fidelity, Robinhood",Anton Katz,CEO & Co-Founder,End-to-end crypto trading platform — could acquire market data or custody tools,"BNY + Fidelity + Robinhood as investors — institutional backing signals ambitions",Researching,,,
70,WithCoverage,withcoverage.com,"New York, NY",Yes,Fintech,Insurance broking platform,Series B,$42M,Jan 2026,"Khosla, Sequoia, 8VC",JD Ross,CEO & Co-Founder,Modern risk management and insurance — could acquire specialty insurance or claims management,Sequoia + Khosla for insurance disruption — M&A of specialty brokers,Researching,,,
71,Felix,felixpago.com,United States,No,Fintech,Remittances for immigrants,Series B,$75M,2025,QED Investors,Management team,,Chat-based remittance platform — could acquire payment corridors or FX tools,$75M from QED — cross-border payments have natural M&A targets,Researching,,,
72,Mesh,meshconnect.com,United States,No,Fintech,Crypto payments,Series B,$82M,2025,Paradigm,Management team,,Crypto payment infrastructure — could acquire wallet or merchant tools,$82M Series B — crypto payments space has significant M&A activity,Researching,,,
73,Nirvana,nirvanatech.com,United States,No,Fintech,AI fleet insurance,Series D,$100M,Dec 2025,"Valor Equity ($1B+ valuation)",Management team,,AI-based insurance risk management — could acquire telematics or fleet management companies,Fresh unicorn in insurtech — AI insurance expands via data acquisitions,Researching,,,
74,Rillet,rillet.com,"Palo Alto, CA",No,Fintech,AI-native ERP for CFOs,Series B,$70M,2025,"a16z, Iconiq",Management team,,AI-native accounting/ERP — could acquire tax or financial reporting tools,a16z + Iconiq for AI ERP — positioned to disrupt legacy ERP,Researching,,,
75,AppZen,appzen.com,"San Jose, CA",No,Fintech,Agentic AI for finance teams,Series D,$180M,2025,Riverwood Capital,Anant Kale,CEO & Co-Founder,AI for expense management and finance automation — could acquire audit or AP automation,$180M Series D — building agentic AI for finance,Researching,,,
76,Rain (EWA),rain.us,"Los Angeles, CA",No,Fintech,Earned wage access,Series B,$75M,Apr 2025,All-equity round,Jason Lee,CEO & Co-Founder,Employer-integrated financial wellness — could acquire payroll or budgeting apps,$75M all-equity Series B — EWA companies expand via financial wellness acquisitions,Researching,,,
77,Octane,octane.co,"New York, NY",Yes,Fintech,Powersports & recreation financing,Series F,$50M,Dec 2025,"Valar Ventures, Upper90",Jason Guss,CEO,Specialty lending for powersports — could acquire dealer management or adjacent fintech,$352M total raised — M&A into adjacent recreation verticals,Researching,,,
78,Bilt Rewards,biltrewards.com,"New York, NY",Yes,Fintech,Rent rewards & real estate fintech,Growth,$250M,2025,"General Catalyst, GID ($13B valuation)",Ankur Jain,CEO & Founder,Loyalty and rewards for housing — could acquire proptech or tenant services,$13B valuation — massive platform with natural acquisition opportunities,Researching,,,
79,Juniper Square,junipersquare.com,"San Francisco, CA",No,Fintech,Private fund management,Series D,$130M,2025,"Fifth Wall, Ribbit Capital ($1.1B valuation)",Alex Robinson,CEO & Co-Founder,Fund management at unicorn status — could acquire investor reporting or fund admin companies,$1.1B valuation — M&A of specialized tools could build comprehensive platform,Researching,,,
80,EliseAI,eliseai.com,"New York, NY",Yes,Proptech,AI for housing & property management,Series E,$250M,2025,"a16z ($2.25B valuation)",Minna Song,CEO & Founder,"AI housing platform with $100M+ ARR — could acquire property management, maintenance, or tenant experience",$2.25B valuation and $100M ARR — acquisitions could expand beyond leasing,Researching,,,
81,Eon,eon.io,"New York, NY",Yes,Proptech,Cloud data management,Series D,$300M,Dec 2025,"Sequoia, Lightspeed, Greenoaks",Gonen Stein,CEO & Co-Founder,Cloud backup and data management — could acquire data recovery or compliance companies,$497M total — clearly in scale-up mode with M&A as a growth lever,Researching,,,
82,Cubby Storage,cubbystorage.com,"New York, NY",Yes,Proptech,Self-storage operations,Series A,$63M,Jan 2026,Goldman Sachs Alternatives,Adam Fleming,CEO & Founder,Self-storage operations platform — could acquire storage facilities or property management tools,Goldman-backed proptech — self-storage is a classic roll-up market,Researching,,,
83,Voyantis,voyantis.ai,"Tel Aviv, Israel",No,CPG / Consumer,AI customer acquisition platform (DTC),Series B,$41M,2025,,$60M total,Ido Ivri,CEO & Co-Founder,Prescriptive AI for DTC brands — could acquire marketing analytics or CRM companies,AI platform serving DTC brands — acquisitions of data tools could strengthen moat,Researching,,,
84,Perfumeo,perfumeo.com,Europe,No,CPG / Consumer,Fragrance / consumer brand,Series D,$105M,2025,,Management team,,DTC fragrance brand at scale — could acquire complementary beauty/fragrance brands,$105M for a consumer brand signals growth-through-acquisition potential,Researching,,,
85,Humble Growth (Portfolio),humblegrowth.com,United States,No,CPG / Consumer,CPG fund (food beverage beauty pets),$312M fund,,,"Peter Rahal (RXBar), Andrew Abraham (Orgain)","Peter Rahal, Andrew Abraham",Fund GPs,Fund thesis is explicitly growth-through-acquisition for CPG — portfolio companies are potential Avera clients,Direct alignment with Avera's M&A advisory services,Researching,,,
86,Recess,takearecess.com,"New York, NY",Yes,CPG / Consumer,Functional beverages,Series B,$30M,,,,Benjamin Witte,CEO & Founder,DTC beverage brand expanding retail — could acquire complementary brands or distribution,NYC-based CPG with strong brand — M&A of adjacent brands could accelerate growth,Researching,,,
